145 th frame's encode time cost:22, its send time cost:1
146 th frame's encode time cost:25, its send time cost:1
147 th frame's encode time cost:25, its send time cost:1
148 th frame's encode time cost:61, its send time cost:39
149 th frame's encode time cost:65, its send time cost:1
150 th frame's encode time cost:23, its send time cost:1
151 th frame's encode time cost:24, its send time cost:11
152 th frame's encode time cost:29, its send time cost:1
153 th frame's encode time cost:25, its send time cost:0
154 th frame's encode time cost:23, its send time cost:1
155 th frame's encode time cost:24, its send time cost:1
156 th frame's encode time cost:24, its send time cost:1
157 th frame's encode time cost:22, its send time cost:1
158 th frame's encode time cost:28, its send time cost:1
159 th frame's encode time cost:24, its send time cost:1
160 th frame's encode time cost:26, its send time cost:1
161 th frame's encode time cost:13, its send time cost:0
162 th frame's encode time cost:30, its send time cost:0
163 th frame's encode time cost:27, its send time cost:0
164 th frame's encode time cost:15, its send time cost:0
165 th frame's encode time cost:32, its send time cost:1
166 th frame's encode time cost:24, its send time cost:3
167 th frame's encode time cost:23, its send time cost:1
168 th frame's encode time cost:26, its send time cost:1
169 th frame's encode time cost:26, its send time cost:1
170 th frame's encode time cost:24, its send time cost:0
171 th frame's encode time cost:25, its send time cost:0
172 th frame's encode time cost:46, its send time cost:1
173 th frame's encode time cost:25, its send time cost:1
174 th frame's encode time cost:22, its send time cost:0
175 th frame's encode time cost:20, its send time cost:0
176 th frame's encode time cost:30, its send time cost:1
177 th frame's encode time cost:21, its send time cost:0
178 th frame's encode time cost:20, its send time cost:10
179 th frame's encode time cost:24, its send time cost:1
180 th frame's encode time cost:23, its send time cost:1
181 th frame's encode time cost:36, its send time cost:1
182 th frame's encode time cost:24, its send time cost:1
183 th frame's encode time cost:22, its send time cost:1
184 th frame's encode time cost:21, its send time cost:1
185 th frame's encode time cost:16, its send time cost:0
186 th frame's encode time cost:20, its send time cost:10
187 th frame's encode time cost:23, its send time cost:1
188 th frame's encode time cost:21, its send time cost:4
189 th frame's encode time cost:26, its send time cost:1
190 th frame's encode time cost:24, its send time cost:0
191 th frame's encode time cost:22, its send time cost:0
192 th frame's encode time cost:20, its send time cost:0
193 th frame's encode time cost:32, its send time cost:1
194 th frame's encode time cost:29, its send time cost:1
195 th frame's encode time cost:23, its send time cost:2
196 th frame's encode time cost:22, its send time cost:1
197 th frame's encode time cost:25, its send time cost:4
198 th frame's encode time cost:24, its send time cost:0
199 th frame's encode time cost:27, its send time cost:1
200 th frame's encode time cost:25, its send time cost:0
201 th frame's encode time cost:23, its send time cost:0
202 th frame's encode time cost:25, its send time cost:1
203 th frame's encode time cost:22, its send time cost:2
204 th frame's encode time cost:23, its send time cost:0
205 th frame's encode time cost:21, its send time cost:5
206 th frame's encode time cost:25, its send time cost:1
207 th frame's encode time cost:54, its send time cost:2
208 th frame's encode time cost:27, its send time cost:1
209 th frame's encode time cost:28, its send time cost:2
210 th frame's encode time cost:25, its send time cost:1
211 th frame's encode time cost:17, its send time cost:0
212 th frame's encode time cost:20, its send time cost:0
213 th frame's encode time cost:30, its send time cost:0
214 th frame's encode time cost:34, its send time cost:1
215 th frame's encode time cost:28, its send time cost:0
216 th frame's encode time cost:19, its send time cost:0
217 th frame's encode time cost:20, its send time cost:0
218 th frame's encode time cost:30, its send time cost:0
219 th frame's encode time cost:25, its send time cost:1
220 th frame's encode time cost:16, its send time cost:0
221 th frame's encode time cost:36, its send time cost:1
222 th frame's encode time cost:23, its send time cost:1
223 th frame's encode time cost:21, its send time cost:0
224 th frame's encode time cost:20, its send time cost:0
225 th frame's encode time cost:35, its send time cost:0
226 th frame's encode time cost:22, its send time cost:2
227 th frame's encode time cost:23, its send time cost:1
228 th frame's encode time cost:28, its send time cost:1
229 th frame's encode time cost:25, its send time cost:0
230 th frame's encode time cost:15, its send time cost:0
231 th frame's encode time cost:30, its send time cost:0
232 th frame's encode time cost:24, its send time cost:1
233 th frame's encode time cost:25, its send time cost:0
234 th frame's encode time cost:25, its send time cost:1
235 th frame's encode time cost:30, its send time cost:0
236 th frame's encode time cost:16, its send time cost:0
237 th frame's encode time cost:30, its send time cost:0
238 th frame's encode time cost:25, its send time cost:1
239 th frame's encode time cost:21, its send time cost:1
240 th frame's encode time cost:14, its send time cost:10
241 th frame's encode time cost:28, its send time cost:1
242 th frame's encode time cost:13, its send time cost:0
243 th frame's encode time cost:30, its send time cost:0
244 th frame's encode time cost:23, its send time cost:1
245 th frame's encode time cost:18, its send time cost:0
246 th frame's encode time cost:20, its send time cost:0
247 th frame's encode time cost:32, its send time cost:1
248 th frame's encode time cost:24, its send time cost:1
249 th frame's encode time cost:33, its send time cost:1
250 th frame's encode time cost:20, its send time cost:0
251 th frame's encode time cost:20, its send time cost:0
252 th frame's encode time cost:32, its send time cost:1
253 th frame's encode time cost:24, its send time cost:1
254 th frame's encode time cost:23, its send time cost:0
255 th frame's encode time cost:26, its send time cost:1
256 th frame's encode time cost:24, its send time cost:1
257 th frame's encode time cost:23, its send time cost:3
